N 11000 train 10265 val 400
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/310 [00:00<?, ?it/s]Loading weights:   0%|          | 1/310 [00:00<00:59,  5.20it/s]Loading weights:  17%|█▋        | 53/310 [00:00<00:01, 222.52it/s]Loading weights:  27%|██▋       | 84/310 [00:00<00:00, 247.27it/s]Loading weights:  37%|███▋      | 114/310 [00:00<00:00, 255.71it/s]Loading weights:  51%|█████     | 157/310 [00:00<00:00, 249.28it/s]Loading weights:  60%|██████    | 186/310 [00:00<00:00, 260.16it/s]Loading weights:  69%|██████▉   | 214/310 [00:00<00:00, 264.77it/s]Loading weights:  78%|███████▊  | 242/310 [00:01<00:00, 261.99it/s]Loading weights:  87%|████████▋ | 269/310 [00:01<00:00, 261.71it/s]Loading weights:  97%|█████████▋| 301/310 [00:01<00:00, 274.65it/s]Loading weights: 100%|██████████| 310/310 [00:01<00:00, 255.64it/s]
[transformers] [1mQwen3Model LOAD REPORT[0m from: Qwen/Qwen3-1.7B
Key            | Status     |  | 
---------------+------------+--+-
lm_head.weight | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: joshuadavid to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run hgoecgxn
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/hex-rl-cot-deconfusion/wandb/run-20260812_071800-hgoecgxn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run armF_moves_r2
wandb: ⭐️ View project at https://wandb.ai/joshuadavid/hex-rl-cot-deconfusion
wandb: 🚀 View run at https://wandb.ai/joshuadavid/hex-rl-cot-deconfusion/runs/hgoecgxn
step 3275 loss 0.4241 col 0.369 pca 0.460 render 0.443 (0.64s/step)
step 3300 loss 0.4790 col 0.418 pca 0.545 render 0.474 (0.64s/step)
step 3325 loss 0.4490 col 0.397 pca 0.505 render 0.446 (0.64s/step)
step 3350 loss 0.5061 col 0.453 pca 0.589 render 0.476 (0.64s/step)
step 3375 loss 0.4228 col 0.382 pca 0.473 render 0.414 (0.64s/step)
step 3400 loss 0.4308 col 0.366 pca 0.469 render 0.458 (0.64s/step)
step 3425 loss 0.4358 col 0.370 pca 0.461 render 0.476 (0.64s/step)
step 3450 loss 0.4815 col 0.437 pca 0.546 render 0.461 (0.64s/step)
step 3475 loss 0.4424 col 0.381 pca 0.506 render 0.440 (0.63s/step)
step 3500 loss 0.5046 col 0.459 pca 0.572 render 0.483 (0.63s/step)
step 3500 val R2 mean: col 0.5800 pca 0.3695 render 0.5729
step 3525 loss 0.4499 col 0.381 pca 0.498 render 0.470 (0.64s/step)
step 3550 loss 0.4123 col 0.351 pca 0.451 render 0.434 (0.64s/step)
step 3575 loss 0.4609 col 0.411 pca 0.533 render 0.439 (0.64s/step)
step 3600 loss 0.4231 col 0.373 pca 0.466 render 0.430 (0.64s/step)
step 3625 loss 0.4401 col 0.375 pca 0.471 render 0.475 (0.64s/step)
step 3650 loss 0.4920 col 0.426 pca 0.553 render 0.498 (0.64s/step)
step 3675 loss 0.4223 col 0.378 pca 0.463 render 0.427 (0.64s/step)
step 3700 loss 0.4350 col 0.388 pca 0.492 render 0.425 (0.64s/step)
step 3725 loss 0.4583 col 0.409 pca 0.515 render 0.451 (0.63s/step)
step 3750 loss 0.3880 col 0.347 pca 0.451 render 0.366 (0.63s/step)
step 3750 val R2 mean: col 0.5859 pca 0.3886 render 0.5775
step 3775 loss 0.4618 col 0.411 pca 0.506 render 0.468 (0.64s/step)
step 3800 loss 0.3880 col 0.337 pca 0.411 render 0.416 (0.64s/step)
step 3825 loss 0.4518 col 0.412 pca 0.515 render 0.428 (0.64s/step)
step 3850 loss 0.4283 col 0.389 pca 0.490 render 0.406 (0.64s/step)
step 3875 loss 0.3971 col 0.352 pca 0.443 render 0.397 (0.64s/step)
step 3900 loss 0.4859 col 0.431 pca 0.548 render 0.478 (0.64s/step)
step 3925 loss 0.4255 col 0.371 pca 0.461 render 0.445 (0.64s/step)
step 3950 loss 0.4612 col 0.405 pca 0.507 render 0.472 (0.64s/step)
step 3975 loss 0.4751 col 0.420 pca 0.524 render 0.482 (0.64s/step)
step 4000 loss 0.4313 col 0.389 pca 0.482 render 0.423 (0.63s/step)
step 4000 val R2 mean: col 0.5900 pca 0.3977 render 0.5809
step 4025 loss 0.3997 col 0.353 pca 0.447 render 0.400 (0.64s/step)
step 4050 loss 0.4309 col 0.380 pca 0.477 render 0.436 (0.64s/step)
step 4075 loss 0.4020 col 0.344 pca 0.440 render 0.422 (0.64s/step)
step 4100 loss 0.4092 col 0.361 pca 0.443 render 0.424 (0.64s/step)
step 4125 loss 0.4245 col 0.366 pca 0.447 render 0.461 (0.64s/step)
step 4150 loss 0.3893 col 0.335 pca 0.428 render 0.405 (0.64s/step)
step 4175 loss 0.3899 col 0.339 pca 0.413 render 0.418 (0.64s/step)
step 4200 loss 0.4042 col 0.364 pca 0.450 render 0.399 (0.64s/step)
step 4225 loss 0.4615 col 0.400 pca 0.492 render 0.493 (0.64s/step)
step 4250 loss 0.4264 col 0.394 pca 0.458 render 0.427 (0.63s/step)
step 4250 val R2 mean: col 0.5937 pca 0.4095 render 0.5824
step 4275 loss 0.4585 col 0.420 pca 0.514 render 0.441 (0.64s/step)
step 4300 loss 0.4349 col 0.396 pca 0.470 render 0.439 (0.64s/step)
step 4325 loss 0.3649 col 0.312 pca 0.384 render 0.399 (0.64s/step)
step 4350 loss 0.4225 col 0.367 pca 0.453 render 0.448 (0.64s/step)
step 4375 loss 0.4659 col 0.419 pca 0.524 render 0.454 (0.64s/step)
step 4400 loss 0.4779 col 0.455 pca 0.573 render 0.406 (0.64s/step)
step 4425 loss 0.3839 col 0.334 pca 0.407 render 0.411 (0.64s/step)
step 4450 loss 0.4836 col 0.439 pca 0.530 render 0.481 (0.64s/step)
step 4475 loss 0.4030 col 0.388 pca 0.422 render 0.400 (0.63s/step)
step 4500 loss 0.3814 col 0.341 pca 0.418 render 0.385 (0.63s/step)
step 4500 val R2 mean: col 0.5987 pca 0.4187 render 0.5880
step 4525 loss 0.4324 col 0.386 pca 0.464 render 0.448 (0.64s/step)
step 4550 loss 0.3243 col 0.289 pca 0.334 render 0.350 (0.64s/step)
step 4575 loss 0.4364 col 0.400 pca 0.470 render 0.439 (0.64s/step)
step 4600 loss 0.4164 col 0.360 pca 0.437 render 0.452 (0.64s/step)
step 4625 loss 0.4182 col 0.371 pca 0.450 render 0.434 (0.64s/step)
step 4650 loss 0.4441 col 0.414 pca 0.518 render 0.400 (0.64s/step)
step 4675 loss 0.4271 col 0.383 pca 0.447 render 0.451 (0.64s/step)
step 4700 loss 0.3797 col 0.339 pca 0.405 render 0.395 (0.64s/step)
step 4725 loss 0.3735 col 0.331 pca 0.409 render 0.380 (0.64s/step)
step 4750 loss 0.4368 col 0.386 pca 0.458 render 0.466 (0.63s/step)
step 4750 val R2 mean: col 0.6012 pca 0.4270 render 0.5886
step 4775 loss 0.4373 col 0.412 pca 0.488 render 0.412 (0.64s/step)
step 4800 loss 0.4406 col 0.430 pca 0.510 render 0.382 (0.64s/step)
step 4825 loss 0.3639 col 0.313 pca 0.373 render 0.406 (0.64s/step)
step 4850 loss 0.4035 col 0.356 pca 0.443 render 0.412 (0.64s/step)
step 4875 loss 0.3880 col 0.358 pca 0.415 render 0.391 (0.64s/step)
step 4900 loss 0.4194 col 0.373 pca 0.447 render 0.438 (0.64s/step)
step 4925 loss 0.4217 col 0.375 pca 0.446 render 0.444 (0.64s/step)
step 4950 loss 0.4013 col 0.367 pca 0.444 render 0.393 (0.64s/step)
step 4975 loss 0.4212 col 0.387 pca 0.446 render 0.431 (0.64s/step)
step 5000 loss 0.3786 col 0.322 pca 0.399 render 0.414 (0.63s/step)
step 5000 val R2 mean: col 0.6045 pca 0.4347 render 0.5926
step 5025 loss 0.3849 col 0.325 pca 0.386 render 0.444 (0.64s/step)
step 5050 loss 0.4350 col 0.399 pca 0.475 render 0.431 (0.64s/step)
step 5075 loss 0.4397 col 0.396 pca 0.469 render 0.454 (0.64s/step)
step 5100 loss 0.3802 col 0.336 pca 0.401 render 0.404 (0.64s/step)
step 5125 loss 0.4166 col 0.389 pca 0.434 render 0.427 (0.64s/step)
step 5150 loss 0.3999 col 0.350 pca 0.413 render 0.436 (0.64s/step)
step 5175 loss 0.4193 col 0.386 pca 0.467 render 0.405 (0.64s/step)
step 5200 loss 0.3787 col 0.340 pca 0.397 render 0.399 (0.64s/step)
